PROVINCIA;MUNICIPIO;ESTACION;MAGNITUD;PUNTO_MUESTREO;ANNO;MES;D01;V01;D02;V02;D03;V03;D04;V04;D05;V05;D06;V06;D07;V07;D08;V08;D09;V09;D10;V10;D11;V11;D12;V12;D13;V13;D14;V14;D15;V15;D16;V16;D17;V17;D18;V18;D19;V19;D20;V20;D21;V21;D22;V22;D23;V23;D24;V24;D25;V25;D26;V26;D27;V27;D28;V28;D29;V29;D30;V30;D31;V31
3;65;7;17;03065007_17_M;2014;1;;N;0.0;V;;N;0.0;V;;N;;N;0.0;V;;N;;N;;N;;N;;N;;N;;N;0.94;V;;N;0.18;V;;N;0.14;V;0.05;V;;N;0.24;V;;N;;N;;N;0.05;V;;N;;N;0.14;V;;N;;N
3;65;7;17;03065007_17_M;2014;2;;N;;N;;N;;N;;N;;N;;N;;N;0.37;V;;N;;N;0.05;V;;N;0.27;V;;N;0.19;V;0.18;V;;N;0.32;V;;N;;N;0.05;V;;N;0.3;V;;N;;N;0.05;V;;N;0.0;N;0.0;N;0.0;N
3;65;7;17;03065007_17_M;2014;3;;N;;N;;N;;N;;N;;N;;N;;N;0.25;V;;N;;N;0.57;V;;N;;N;;N;0.64;V;0.33;V;0.33;V;;N;0.3;V;;N;0.47;V;;N;0.16;V;;N;;N;;N;;N;;N;;N;;N
3;65;7;17;03065007_17_M;2014;4;;N;;N;;N;;N;0.05;V;;N;;N;0.29;V;;N;0.37;V;0.32;V;0.33;V;;N;0.28;V;;N;0.4;V;;N;;N;0.48;V;;N;0.14;V;;N;;N;;N;;N;;N;;N;;N;;N;;N;0.0;N
3;65;7;17;03065007_17_M;2014;5;;N;;N;;N;;N;;N;;N;;N;0.3;V;;N;0.24;V;0.3;V;;N;;N;0.15;V;;N;;N;;N;0.17;V;0.33;V;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;0.27;V
3;65;7;17;03065007_17_M;2014;6;;N;0.23;V;;N;;N;0.21;V;0.25;V;;N;;N;0.3;V;;N;;N;0.59;V;;N;1.02;V;;N;0.05;V;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;0.0;N
3;65;7;17;03065007_17_M;2014;7;;N;;N;;N;;N;;N;;N;0.16;V;;N;0.05;V;;N;;N;0.15;V;;N;;N;0.05;V;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;0.28;V;;N;0.51;V;;N;;N;0.29;V
3;65;7;17;03065007_17_M;2014;8;0.61;V;;N;0.25;V;0.23;V;;N;0.22;V;;N;;N;0.25;V;;N;0.34;V;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;0.05;V;0.16;V;;N;;N;0.22;V;0.23;V;;N;;N
3;65;7;17;03065007_17_M;2014;9;;N;;N;0.31;V;0.28;V;0.35;V;0.37;V;;N;0.19;V;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;0.28;V;;N;0.35;V;;N;0.36;V;;N;0.28;V;;N;0.31;V;0.37;V;;N;0.0;N
3;65;7;17;03065007_17_M;2014;10;;N;0.31;V;;N;0.43;V;;N;0.7;V;;N;;N;0.54;V;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;0.32;V;0.33;V;;N;0.34;V;0.27;V;;N;0.39;V;;N;;N
3;65;7;17;03065007_17_M;2014;11;0.32;V;;N;0.35;V;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;0.68;V;0.05;V;;N;0.05;V;;N;;N;0.35;V;0.44;V;;N;0.46;V;;N;;N;0.45;V;;N;;N;0.16;V;;N;0.0;N
3;65;7;17;03065007_17_M;2014;12;;N;0.15;V;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;0.55;V;;N;0.14;V;;N;;N;0.4;V;0.39;V;;N;;N;0.33;V;;N;0.46;V;;N;;N;;N;;N;;N;;N;;N
12;5;4;17;12005004_17_M;2014;1;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;0.56;V;;N;1.54;V;;N;0.98;V;;N;0.7;V;;N;0.83;V;0.14;V;;N;0.98;V;;N;;N;;N;0.83;V;;N;;N;0.97;V;;N;;N
12;5;4;17;12005004_17_M;2014;2;;N;;N;;N;;N;;N;;N;1.11;V;;N;0.7;V;;N;;N;0.56;V;;N;0.97;V;;N;0.98;V;1.4;V;;N;1.12;V;;N;;N;3.09;V;;N;3.92;V;;N;;N;;N;;N;0.0;N;0.0;N;0.0;N
12;5;4;17;12005004_17_M;2014;3;;N;;N;;N;;N;;N;;N;;N;;N;1.12;V;;N;;N;1.27;V;;N;;N;;N;1.25;V;1.66;V;1.39;V;;N;1.53;V;;N;1.66;V;;N;0.7;V;;N;;N;;N;;N;;N;;N;;N
12;5;4;17;12005004_17_M;2014;4;;N;;N;;N;;N;0.41;V;;N;2.07;V;;N;;N;1.93;V;2.07;V;0.69;V;;N;1.38;V;;N;;N;;N;;N;0.81;V;;N;0.55;V;;N;;N;;N;;N;;N;;N;;N;;N;;N;0.0;N
12;5;4;17;12005004_17_M;2014;5;0.47;V;;N;0.47;V;;N;0.62;V;;N;;N;0.28;V;1.12;V;;N;0.97;V;;N;;N;0.99;V;;N;;N;0.56;V;;N;0.83;V;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;0.7;V
12;5;4;17;12005004_17_M;2014;6;;N;0.7;V;;N;;N;0.28;V;0.83;V;;N;;N;1.52;V;;N;0.83;V;1.24;V;;N;0.96;V;;N;0.83;V;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;0.0;N
12;5;4;17;12005004_17_M;2014;7;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N
12;5;4;17;12005004_17_M;2014;8;;N;;N;;N;;N;;N;0.96;V;;N;;N;0.41;V;;N;0.27;V;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;0.28;V;0.41;V;;N;;N;0.96;V;0.41;V;;N;0.41;V
12;5;4;17;12005004_17_M;2014;9;0.41;V;;N;0.68;V;;N;;N;0.68;V;;N;0.27;V;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;0.55;V;;N;0.55;V;;N;;N;0.69;V;0.56;V;;N;;N;;N;;N;0.0;N
12;5;4;17;12005004_17_M;2014;10;;N;;N;;N;0.84;V;;N;1.11;V;;N;;N;1.24;V;;N;0.69;V;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N
12;5;4;17;12005004_17_M;2014;11;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;0.56;V;;N;1.55;V;;N;;N;0.57;V;0.56;V;;N;0.56;V;;N;;N;0.84;V;;N;;N;;N;;N;0.0;N
12;5;4;17;12005004_17_M;2014;12;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;0.82;V;;N;0.41;V;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N
12;80;7;17;12080007_17_M;2014;1;;N;0.0;V;;N;0.0;V;;N;;N;0.14;V;;N;0.0;V;;N;0.14;V;;N;0.14;V;;N;0.14;V;;N;0.14;V;;N;0.14;V;0.0;V;;N;;N;;N;;N;;N;;N;;N;;N;0.0;V;;N;0.0;V
12;80;7;17;12080007_17_M;2014;2;;N;;N;0.0;V;;N;0.0;V;;N;0.0;V;;N;0.0;V;;N;;N;0.0;V;;N;0.0;V;;N;0.0;V;0.14;V;;N;0.14;V;;N;;N;0.0;V;;N;0.14;V;;N;;N;0.0;V;;N;0.0;N;0.0;N;0.0;N
12;80;7;17;12080007_17_M;2014;3;0.0;V;;N;0.0;V;;N;;N;0.0;V;;N;;N;0.28;V;;N;;N;0.42;V;;N;;N;;N;0.28;V;0.14;V;0.27;V;;N;0.27;V;;N;0.14;V;;N;0.0;V;;N;;N;0.14;V;;N;0.14;V;;N;0.27;V
12;80;7;17;12080007_17_M;2014;4;;N;;N;0.14;V;;N;0.0;V;;N;0.14;V;;N;;N;0.27;V;0.14;V;0.27;V;;N;0.27;V;;N;0.27;V;;N;;N;0.14;V;;N;0.14;V;;N;;N;0.14;V;;N;0.14;V;;N;;N;0.14;V;;N;0.0;N
12;80;7;17;12080007_17_M;2014;5;0.14;V;;N;0.14;V;;N;0.14;V;;N;;N;0.19;V;0.19;V;;N;0.06;V;;N;;N;0.14;V;;N;;N;0.14;V;;N;0.14;V;;N;;N;0.0;V;;N;0.14;V;;N;;N;0.14;V;;N;0.14;V;;N;0.0;V
12;80;7;17;12080007_17_M;2014;6;;N;0.14;V;;N;;N;0.14;V;0.28;V;;N;;N;0.28;V;0.28;V;0.28;V;;N;;N;0.14;V;;N;0.28;V;;N;;N;0.14;V;;N;0.14;V;;N;;N;0.0;V;;N;0.14;V;;N;0.14;V;;N;0.14;V;0.0;N
