PROVINCIA;MUNICIPIO;ESTACION;MAGNITUD;PUNTO_MUESTREO;ANNO;MES;D01;V01;D02;V02;D03;V03;D04;V04;D05;V05;D06;V06;D07;V07;D08;V08;D09;V09;D10;V10;D11;V11;D12;V12;D13;V13;D14;V14;D15;V15;D16;V16;D17;V17;D18;V18;D19;V19;D20;V20;D21;V21;D22;V22;D23;V23;D24;V24;D25;V25;D26;V26;D27;V27;D28;V28;D29;V29;D30;V30;D31;V31
3;65;7;28;03065007_28_M;2014;1;;N;0.0;V;;N;0.0;V;;N;;N;0.0;V;;N;;N;;N;;N;;N;;N;;N;0.05;V;;N;0.05;V;;N;0.05;V;0.05;V;;N;0.05;V;;N;;N;;N;0.05;V;;N;;N;0.05;V;;N;;N
3;65;7;28;03065007_28_M;2014;2;;N;;N;;N;;N;;N;;N;;N;;N;0.05;V;;N;;N;0.05;V;;N;0.05;V;;N;0.05;V;0.05;V;;N;0.05;V;;N;;N;0.05;V;;N;0.05;V;;N;;N;0.05;V;;N;0.0;N;0.0;N;0.0;N
3;65;7;28;03065007_28_M;2014;3;;N;;N;;N;;N;;N;;N;;N;;N;0.05;V;;N;;N;0.17;V;;N;;N;;N;0.22;V;0.17;V;0.14;V;;N;0.05;V;;N;0.05;V;;N;0.05;V;;N;;N;;N;;N;;N;;N;;N
3;65;7;28;03065007_28_M;2014;4;;N;;N;;N;;N;0.05;V;;N;;N;0.05;V;;N;0.05;V;0.05;V;0.05;V;;N;0.05;V;;N;0.05;V;;N;;N;0.14;V;;N;0.05;V;;N;;N;;N;;N;;N;;N;;N;;N;;N;0.0;N
3;65;7;28;03065007_28_M;2014;5;;N;;N;;N;;N;;N;;N;;N;0.05;V;;N;0.05;V;0.17;V;;N;;N;0.05;V;;N;;N;;N;0.05;V;0.05;V;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;0.05;V
3;65;7;28;03065007_28_M;2014;6;;N;0.05;V;;N;;N;0.05;V;0.05;V;;N;;N;0.05;V;;N;;N;0.05;V;;N;0.23;V;;N;0.05;V;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;0.0;N
3;65;7;28;03065007_28_M;2014;7;;N;;N;;N;;N;;N;;N;0.05;V;;N;0.05;V;;N;;N;0.05;V;;N;;N;0.05;V;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;0.05;V;;N;0.17;V;;N;;N;0.05;V
3;65;7;28;03065007_28_M;2014;8;0.05;V;;N;0.05;V;0.05;V;;N;0.05;V;;N;;N;0.05;V;;N;0.05;V;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;0.05;V;0.05;V;;N;;N;0.05;V;0.05;V;;N;;N
3;65;7;28;03065007_28_M;2014;9;;N;;N;0.05;V;0.05;V;0.05;V;0.05;V;;N;0.05;V;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;0.16;V;;N;0.05;V;;N;0.05;V;;N;0.17;V;;N;0.05;V;0.05;V;;N;0.0;N
3;65;7;28;03065007_28_M;2014;10;;N;0.05;V;;N;0.05;V;;N;0.05;V;;N;;N;0.23;V;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;0.22;V;0.05;V;;N;0.05;V;0.05;V;;N;0.05;V;;N;;N
3;65;7;28;03065007_28_M;2014;11;0.05;V;;N;0.05;V;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;0.59;V;0.05;V;;N;0.05;V;;N;;N;0.05;V;0.15;V;;N;0.05;V;;N;;N;0.05;V;;N;;N;0.05;V;;N;0.0;N
3;65;7;28;03065007_28_M;2014;12;;N;0.05;V;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;0.26;V;;N;0.05;V;;N;;N;0.05;V;0.05;V;;N;;N;0.05;V;;N;0.15;V;;N;;N;;N;;N;;N;;N;;N
12;5;4;28;12005004_28_M;2014;1;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;0.11;V;;N;0.22;V;;N;0.12;V;;N;0.0;V;;N;0.04;V;0.0;V;;N;0.0;V;;N;;N;;N;0.0;V;;N;;N;0.0;V;;N;;N
12;5;4;28;12005004_28_M;2014;2;;N;;N;;N;;N;;N;;N;0.03;V;;N;0.0;V;;N;;N;0.05;V;;N;0.11;V;;N;0.11;V;0.15;V;;N;0.15;V;;N;;N;0.1;V;;N;0.13;V;;N;;N;;N;;N;0.0;N;0.0;N;0.0;N
