PROVINCIA;MUNICIPIO;ESTACION;MAGNITUD;PUNTO_MUESTREO;ANNO;MES;DIA;H01;H02;H03;H04;H05;H06;H07;H08;H09;H10;H11;H12;H13;H14;H15;H16;H17;H18;H19;H20;H21;H22;H23;H24
1;59;8;30;01059008_30_59;2014;8;6;0.0;0.04;0.02;0.04;0.02;0.11;0.09;0.0;0.0;;0.05;0.0;0.02;0.0;0.02;0.12;0.03;0.0;0.0;0.0;0.0;0.04;0.0;0.12
1;59;8;30;01059008_30_59;2014;8;7;0.0;0.0;0.21;0.06;0.0;0.03;0.12;0.01;;0.06;0.04;0.12;0.09;0.0;0.02;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1;59;8;30;01059008_30_59;2014;8;8;;;;;;;0.07;;;;;;;;;;;;;;;;;0.06
1;59;8;30;01059008_30_59;2014;8;9;;;;0.11;;;;;;;;;;;;;;;0.1;;;;;
1;59;8;30;01059008_30_59;2014;8;10;;;0.15;0.1;;;;;0.4;0.38;0.57;;0.45;0.86;0.71;;;;;;;;;
1;59;8;30;01059008_30_59;2014;8;11;0.0;0.0;0.0;0.0;;0.12;0.0;0.0;0.0;0.0;0.05;0.01;0.07;0.0;0.02;0.0;0.07;0.02;0.19;0.0;0.0;0.0;0.02;0.03
1;59;8;30;01059008_30_59;2014;8;12;0.0;0.0;0.02;;0.04;0.0;0.0;0.02;0.0;0.0;0.25;0.11;0.13;0.0;0.0;0.0;0.05;0.03;0.0;0.14;0.0;0.0;0.0;0.0
1;59;8;30;01059008_30_59;2014;8;13;0.0;0.0;;0.36;0.12;0.43;0.68;0.42;0.13;0.15;0.03;0.02;0.39;0.21;0.44;0.12;0.16;0.07;0.04;0.09;0.0;0.3;0.41;0.63
1;59;8;30;01059008_30_59;2014;8;14;0.44;;0.39;0.91;0.67;0.43;0.38;0.74;0.53;0.2;0.12;0.02;0.05;0.07;0.12;0.26;0.41;0.71;0.57;0.57;0.22;0.03;0.48;0.65
1;59;8;30;01059008_30_59;2014;8;15;;0.26;0.39;0.7;0.46;0.4;0.61;1.18;1.11;0.53;0.05;0.16;0.11;0.02;0.36;0.3;0.19;0.15;0.06;0.19;0.3;0.54;0.27;
1;59;8;30;01059008_30_59;2014;8;16;0.26;0.1;0.14;0.09;0.59;0.6;0.71;0.95;0.34;0.48;0.48;0.02;0.0;0.08;0.06;0.0;0.09;0.1;0.03;0.2;0.07;0.02;;0.06
1;59;8;30;01059008_30_59;2014;8;17;0.16;0.0;0.06;0.1;0.21;0.09;0.0;0.14;0.17;0.08;0.24;0.16;0.09;0.11;0.0;0.09;0.04;0.04;0.0;0.1;0.08;;0.16;0.11
1;59;8;30;01059008_30_59;2014;8;18;0.23;0.32;0.07;0.0;0.04;0.09;0.01;0.01;0.03;0.03;0.15;0.14;;;0.0;0.0;0.0;0.0;0.0;0.0;;0.11;0.46;0.33
1;59;8;30;01059008_30_59;2014;8;19;0.76;0.92;0.23;0.29;0.39;0.46;0.25;0.91;1.1;0.4;0.5;0.23;0.22;0.22;0.63;0.22;0.07;0.09;0.03;;0.03;0.0;0.05;0.1
1;59;8;30;01059008_30_59;2014;8;20;0.15;0.09;0.0;0.0;0.09;0.01;0.05;0.03;0.0;0.02;0.0;0.21;0.23;0.01;0.1;0.25;0.44;0.46;;0.21;0.47;0.33;0.07;0.17
1;59;8;30;01059008_30_59;2014;8;21;0.43;0.39;0.11;0.1;0.51;0.31;0.09;0.03;0.12;0.11;0.03;0.45;0.05;0.04;0.18;0.57;0.07;;0.34;0.31;0.16;0.36;0.04;0.18
1;59;8;30;01059008_30_59;2014;8;22;0.1;0.02;0.13;0.15;0.12;0.51;0.54;0.58;0.6;0.19;0.15;0.02;0.02;0.0;0.02;0.02;;0.04;0.14;0.05;0.22;0.26;0.04;0.41
