PROVINCIA;MUNICIPIO;ESTACION;MAGNITUD;PUNTO_MUESTREO;FECHA_INICIAL;FECHA_FINAL;VALOR
4;32;5;30;04032005_30_I;2014-01-01 00:00:00;2014-01-31 00:00:00;0.67
4;32;5;30;04032005_30_I;2014-02-01 00:00:00;2014-02-28 00:00:00;0.33
4;32;5;30;04032005_30_I;2014-04-01 00:00:00;2014-04-30 00:00:00;0.52
4;32;5;30;04032005_30_I;2014-03-01 00:00:00;2014-03-31 00:00:00;0.42
4;32;5;30;04032005_30_I;2014-05-01 00:00:00;2014-05-31 00:00:00;0.11
4;32;5;30;04032005_30_I;2014-07-01 00:00:00;2014-07-31 00:00:00;0.19
4;32;5;30;04032005_30_I;2014-09-01 00:00:00;2014-09-30 00:00:00;0.11
4;32;5;30;04032005_30_I;2014-11-01 00:00:00;2014-11-30 00:00:00;0.35
4;32;5;30;04032005_30_I;2014-12-01 00:00:00;2014-12-31 00:00:00;0.46
4;32;5;30;04032005_30_I;2014-10-01 00:00:00;2014-10-31 00:00:00;0.11
4;32;5;30;04032005_30_I;2014-08-01 00:00:00;2014-08-31 00:00:00;0.094
4;32;5;30;04032005_30_I;2014-06-01 00:00:00;2014-06-30 00:00:00;0.47
4;35;2;30;04035002_30_I;2014-01-01 00:00:00;2014-01-31 00:00:00;0.79
4;35;2;30;04035002_30_I;2014-03-01 00:00:00;2014-03-31 00:00:00;0.46
4;35;2;30;04035002_30_I;2014-05-01 00:00:00;2014-05-31 00:00:00;0.11
4;35;2;30;04035002_30_I;2014-07-01 00:00:00;2014-07-31 00:00:00;0.094
4;35;2;30;04035002_30_I;2014-10-01 00:00:00;2014-10-31 00:00:00;0.27
4;35;2;30;04035002_30_I;2014-12-01 00:00:00;2014-12-31 00:00:00;0.39
4;35;2;30;04035002_30_I;2014-11-01 00:00:00;2014-11-30 00:00:00;0.34
4;35;2;30;04035002_30_I;2014-08-01 00:00:00;2014-08-31 00:00:00;0.094
4;35;2;30;04035002_30_I;2014-06-01 00:00:00;2014-06-30 00:00:00;0.48
4;35;2;30;04035002_30_I;2014-04-01 00:00:00;2014-04-30 00:00:00;0.14
4;35;2;30;04035002_30_I;2014-02-01 00:00:00;2014-02-28 00:00:00;0.37
4;66;4;30;04066004_30_I;2014-01-01 00:00:00;2014-01-31 00:00:00;0.68
4;66;4;30;04066004_30_I;2014-08-01 00:00:00;2014-08-31 00:00:00;0.094
4;66;4;30;04066004_30_I;2014-12-01 00:00:00;2014-12-31 00:00:00;0.53
4;66;4;30;04066004_30_I;2014-11-01 00:00:00;2014-11-30 00:00:00;0.32
4;66;4;30;04066004_30_I;2014-10-01 00:00:00;2014-10-31 00:00:00;0.15
4;66;4;30;04066004_30_I;2014-09-01 00:00:00;2014-09-30 00:00:00;0.22
4;66;4;30;04066004_30_I;2014-07-01 00:00:00;2014-07-31 00:00:00;0.094
4;66;4;30;04066004_30_I;2014-02-01 00:00:00;2014-02-28 00:00:00;0.48
4;66;4;30;04066004_30_I;2014-04-01 00:00:00;2014-04-30 00:00:00;0.11
4;66;4;30;04066004_30_I;2014-05-01 00:00:00;2014-05-31 00:00:00;0.16
4;66;4;30;04066004_30_I;2014-06-01 00:00:00;2014-06-30 00:00:00;0.33
4;66;4;30;04066004_30_I;2014-03-01 00:00:00;2014-03-31 00:00:00;0.42
4;902;1;30;04902001_30_I;2014-01-01 00:00:00;2014-01-31 00:00:00;0.8
4;902;1;30;04902001_30_I;2014-06-01 00:00:00;2014-06-30 00:00:00;0.51
4;902;1;30;04902001_30_I;2014-12-01 00:00:00;2014-12-31 00:00:00;0.76
4;902;1;30;04902001_30_I;2014-11-01 00:00:00;2014-11-30 00:00:00;0.44
4;902;1;30;04902001_30_I;2014-10-01 00:00:00;2014-10-31 00:00:00;0.4
4;902;1;30;04902001_30_I;2014-09-01 00:00:00;2014-09-30 00:00:00;0.28
4;902;1;30;04902001_30_I;2014-08-01 00:00:00;2014-08-31 00:00:00;0.2
4;902;1;30;04902001_30_I;2014-07-01 00:00:00;2014-07-31 00:00:00;0.23
4;902;1;30;04902001_30_I;2014-05-01 00:00:00;2014-05-31 00:00:00;0.11
4;902;1;30;04902001_30_I;2014-02-01 00:00:00;2014-02-28 00:00:00;0.38
4;902;1;30;04902001_30_I;2014-04-01 00:00:00;2014-04-30 00:00:00;0.45
4;902;1;30;04902001_30_I;2014-03-01 00:00:00;2014-03-31 00:00:00;0.47
11;12;2;30;11012002_30_I;2014-01-01 00:00:00;2014-01-31 00:00:00;0.52
11;12;2;30;11012002_30_I;2014-02-01 00:00:00;2014-02-28 00:00:00;0.58
11;12;2;30;11012002_30_I;2014-04-01 00:00:00;2014-04-30 00:00:00;0.35
11;12;2;30;11012002_30_I;2014-06-01 00:00:00;2014-06-30 00:00:00;0.23
11;12;2;30;11012002_30_I;2014-08-01 00:00:00;2014-08-31 00:00:00;0.25
11;12;2;30;11012002_30_I;2014-10-01 00:00:00;2014-10-31 00:00:00;0.31
11;12;2;30;11012002_30_I;2014-12-01 00:00:00;2014-12-31 00:00:00;0.85
11;12;2;30;11012002_30_I;2014-11-01 00:00:00;2014-11-30 00:00:00;0.47
11;12;2;30;11012002_30_I;2014-09-01 00:00:00;2014-09-30 00:00:00;0.3
11;12;2;30;11012002_30_I;2014-07-01 00:00:00;2014-07-31 00:00:00;0.28
11;12;2;30;11012002_30_I;2014-05-01 00:00:00;2014-05-31 00:00:00;0.26
11;12;2;30;11012002_30_I;2014-03-01 00:00:00;2014-03-31 00:00:00;0.59
14;21;6;30;14021006_30_I;2014-01-01 00:00:00;2014-01-31 00:00:00;1.2
14;21;6;30;14021006_30_I;2014-06-01 00:00:00;2014-06-30 00:00:00;0.62
14;21;6;30;14021006_30_I;2014-12-01 00:00:00;2014-12-31 00:00:00;1.1
14;21;6;30;14021006_30_I;2014-11-01 00:00:00;2014-11-30 00:00:00;0.51
14;21;6;30;14021006_30_I;2014-10-01 00:00:00;2014-10-31 00:00:00;0.42
14;21;6;30;14021006_30_I;2014-09-01 00:00:00;2014-09-30 00:00:00;0.27
14;21;6;30;14021006_30_I;2014-08-01 00:00:00;2014-08-31 00:00:00;0.094
14;21;6;30;14021006_30_I;2014-07-01 00:00:00;2014-07-31 00:00:00;0.3
14;21;6;30;14021006_30_I;2014-05-01 00:00:00;2014-05-31 00:00:00;0.12
14;21;6;30;14021006_30_I;2014-02-01 00:00:00;2014-02-28 00:00:00;0.47
14;21;6;30;14021006_30_I;2014-04-01 00:00:00;2014-04-30 00:00:00;0.34
14;21;6;30;14021006_30_I;2014-03-01 00:00:00;2014-03-31 00:00:00;0.42
14;21;9;30;14021009_30_I;2014-01-01 00:00:00;2014-01-31 00:00:00;1.1
14;21;9;30;14021009_30_I;2014-02-01 00:00:00;2014-02-28 00:00:00;0.81
14;21;9;30;14021009_30_I;2014-03-01 00:00:00;2014-03-31 00:00:00;0.86
14;21;9;30;14021009_30_I;2014-04-01 00:00:00;2014-04-30 00:00:00;0.54
14;21;9;30;14021009_30_I;2014-06-01 00:00:00;2014-06-30 00:00:00;0.15
14;21;9;30;14021009_30_I;2014-08-01 00:00:00;2014-08-31 00:00:00;0.26
14;21;9;30;14021009_30_I;2014-12-01 00:00:00;2014-12-31 00:00:00;1.8
14;21;9;30;14021009_30_I;2014-11-01 00:00:00;2014-11-30 00:00:00;1.0
14;21;9;30;14021009_30_I;2014-10-01 00:00:00;2014-10-31 00:00:00;0.96
14;21;9;30;14021009_30_I;2014-09-01 00:00:00;2014-09-30 00:00:00;0.61
14;21;9;30;14021009_30_I;2014-07-01 00:00:00;2014-07-31 00:00:00;0.51
14;21;9;30;14021009_30_I;2014-05-01 00:00:00;2014-05-31 00:00:00;0.49
14;68;1;30;14068001_30_I;2014-01-01 00:00:00;2014-01-31 00:00:00;0.36
14;68;1;30;14068001_30_I;2014-02-01 00:00:00;2014-02-28 00:00:00;0.63
